loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
20000,20000, 36 months,8.9,635.07,A,A5,7 years,MORTGAGE,50000.0,Verified,Fully Paid,debt_consolidation,SC,17.21,0.0,0.0,12.0,0.0,10230,35.2,26.0
35000,35000, 60 months,18.24,893.35,D,D5,10+ years,MORTGAGE,100000.0,Verified,Charged Off,home_improvement,OR,9.13,2.0,0.0,11.0,1.0,2389,39.2,48.0
12000,12000, 60 months,26.77,364.78,E,E5,10+ years,MORTGAGE,90000.0,Verified,Fully Paid,credit_card,MO,8.4,0.0,2.0,4.0,0.0,5177,74.0,14.0
17000,17000, 60 months,24.5,494.01,F,F3,8 years,MORTGAGE,44000.0,Verified,Charged Off,debt_consolidation,MI,22.01,0.0,2.0,16.0,0.0,6031,27.8,26.0
8000,8000, 36 months,14.48,275.29,C,C5,3 years,RENT,55000.0,Verified,Fully Paid,other,NY,9.49,0.0,1.0,20.0,0.0,6602,68.8,26.0
20200,20200, 36 months,17.99,730.18,D,D2,6 years,MORTGAGE,53680.0,Verified,Fully Paid,debt_consolidation,KY,18.54,0.0,1.0,4.0,0.0,22155,98.9,24.0
3500,3500, 36 months,11.49,115.4,B,B5,10+ years,OWN,60000.0,Verified,Fully Paid,other,OK,9.68,0.0,0.0,8.0,0.0,7823,58.4,15.0
26400,26400, 60 months,7.89,533.91,A,A5,,MORTGAGE,89629.56,Verified,Fully Paid,credit_card,TX,13.6,0.0,0.0,13.0,0.0,71862,38.0,19.0
6000,6000, 36 months,7.49,186.61,A,A4,10+ years,MORTGAGE,62000.0,Not Verified,Fully Paid,debt_consolidation,SC,15.12,0.0,0.0,12.0,0.0,5515,44.8,18.0
17125,17125, 60 months,17.57,430.87,D,D4,10+ years,MORTGAGE,70000.0,Verified,Fully Paid,home_improvement,OH,21.5,2.0,1.0,17.0,1.0,9997,29.0,36.0
35000,35000, 36 months,7.39,1086.96,A,A4,10+ years,MORTGAGE,91000.0,Source Verified,Fully Paid,credit_card,TX,16.85,0.0,1.0,15.0,0.0,41508,65.0,44.0
3000,3000, 36 months,10.75,97.87,B,B4,,RENT,36000.0,Source Verified,Fully Paid,debt_consolidation,NY,10.3,0.0,0.0,11.0,1.0,3610,37.6,18.0
6000,6000, 36 months,16.99,213.89,D,D3,3 years,OWN,62000.0,Verified,Fully Paid,home_improvement,LA,19.22,0.0,2.0,10.0,0.0,13624,78.3,25.0
4000,4000, 36 months,13.99,136.7,C,C3,2 years,RENT,61700.0,Source Verified,Charged Off,debt_consolidation,NV,18.07,0.0,0.0,11.0,2.0,10365,87.8,20.0
7200,7200, 36 months,8.99,228.93,B,B1,5 years,MORTGAGE,62500.0,Not Verified,Fully Paid,home_improvement,MO,11.17,0.0,0.0,7.0,1.0,770,6.8,22.0
30500,30500, 60 months,24.85,892.54,E,E3,10+ years,MORTGAGE,135000.0,Source Verified,Fully Paid,credit_card,NV,31.16,1.0,0.0,26.0,0.0,14323,31.0,61.0
10000,10000, 36 months,7.12,309.32,A,A3,5 years,RENT,65000.0,Not Verified,Fully Paid,debt_consolidation,CA,7.87,0.0,1.0,9.0,0.0,8556,22.3,16.0
35000,35000, 36 months,16.02,1230.85,C,C5,3 years,RENT,140000.0,Source Verified,Fully Paid,debt_consolidation,NY,13.85,0.0,0.0,8.0,0.0,47171,101.9,13.0
22000,22000, 36 months,6.62,675.49,A,A2,10+ years,MORTGAGE,71000.0,Source Verified,Charged Off,credit_card,FL,19.52,0.0,0.0,18.0,0.0,19519,38.5,31.0
8875,8875, 36 months,18.55,323.31,D,D2,4 years,RENT,27000.0,Verified,Charged Off,debt_consolidation,AZ,33.78,0.0,1.0,8.0,0.0,4245,42.9,9.0
7200,7200, 36 months,6.62,221.07,A,A2,6 years,OWN,72000.0,Not Verified,Charged Off,home_improvement,NJ,12.73,0.0,0.0,15.0,0.0,939,2.5,21.0
3225,3225, 36 months,13.67,109.71,B,B5,3 years,RENT,28000.0,Source Verified,Fully Paid,debt_consolidation,RI,9.39,0.0,0.0,7.0,1.0,7299,41.9,12.0
12400,12400, 36 months,8.9,393.74,A,A5,10+ years,OWN,75000.0,Not Verified,Fully Paid,debt_consolidation,CA,18.6,0.0,0.0,12.0,0.0,20120,64.7,25.0
24000,24000, 60 months,15.61,578.68,D,D1,2 years,RENT,66500.0,Source Verified,Charged Off,debt_consolidation,NY,26.66,0.0,1.0,17.0,0.0,10440,26.5,36.0
24000,24000, 36 months,12.69,805.08,C,C2,2 years,MORTGAGE,128000.0,Source Verified,Fully Paid,debt_consolidation,RI,9.2,1.0,0.0,13.0,0.0,20561,80.3,28.0
24000,24000, 36 months,14.65,827.87,C,C5,6 years,OWN,120000.0,Source Verified,Fully Paid,small_business,NC,17.17,0.0,1.0,28.0,1.0,13430,44.8,47.0
36750,36750, 60 months,10.99,798.86,B,B4,10+ years,MORTGAGE,51000.0,Verified,Fully Paid,debt_consolidation,NY,15.76,1.0,0.0,21.0,0.0,31404,26.7,40.0
35000,35000, 36 months,7.59,1090.17,A,A3,10+ years,MORTGAGE,240000.0,Source Verified,Fully Paid,debt_consolidation,CA,4.94,0.0,3.0,16.0,0.0,16074,24.3,21.0
19125,19125, 60 months,15.8,463.06,C,C3,7 years,MORTGAGE,44000.0,Verified,Fully Paid,credit_card,FL,22.47,0.0,0.0,14.0,0.0,25176,83.6,36.0
20000,20000, 60 months,17.27,499.96,C,C5,7 years,MORTGAGE,120000.0,Source Verified,Charged Off,debt_consolidation,MI,16.07,0.0,2.0,12.0,0.0,19445,79.4,28.0
10000,10000, 36 months,11.14,328.06,B,B2,10+ years,MORTGAGE,54800.0,Verified,Fully Paid,debt_consolidation,NJ,23.97,0.0,1.0,10.0,0.0,16669,56.7,20.0
22400,22400, 60 months,13.49,515.31,C,C2,10+ years,MORTGAGE,119000.0,Not Verified,Charged Off,credit_card,VT,23.22,0.0,3.0,20.0,1.0,17669,51.5,47.0
5000,5000, 36 months,11.44,164.74,B,B4,,RENT,51000.0,Verified,Charged Off,debt_consolidation,UT,22.49,0.0,1.0,14.0,1.0,19188,57.6,30.0
35000,35000, 36 months,12.74,1174.91,C,C1,1 year,RENT,78000.0,Verified,Fully Paid,debt_consolidation,NJ,6.73,2.0,0.0,6.0,0.0,1325,16.8,21.0
24200,24200, 60 months,17.86,612.68,D,D5,10+ years,MORTGAGE,55000.0,Not Verified,Charged Off,debt_consolidation,TN,29.35,0.0,0.0,11.0,0.0,19675,43.5,26.0
7150,7150, 36 months,12.39,238.82,C,C1,1 year,RENT,30000.0,Source Verified,Charged Off,debt_consolidation,GA,34.96,0.0,1.0,13.0,0.0,6157,29.5,16.0
10000,10000, 36 months,11.99,332.1,C,C1,,OWN,30000.0,Verified,Charged Off,debt_consolidation,AZ,30.16,0.0,0.0,12.0,0.0,7474,43.2,24.0
24000,24000, 36 months,11.49,791.32,B,B5,10+ years,MORTGAGE,101000.0,Source Verified,Fully Paid,debt_consolidation,MN,26.66,0.0,0.0,13.0,0.0,3582,23.4,38.0
10000,10000, 36 months,10.78,326.35,B,B4,,RENT,49500.0,Verified,Fully Paid,debt_consolidation,AZ,26.69,0.0,0.0,7.0,0.0,12140,65.6,25.0
12000,12000, 36 months,15.8,420.71,C,C3,2 years,MORTGAGE,64000.0,Not Verified,Charged Off,credit_card,IN,23.08,0.0,2.0,17.0,0.0,17848,45.4,39.0
15000,15000, 36 months,15.99,527.29,C,C5,10+ years,MORTGAGE,99000.0,Source Verified,Charged Off,debt_consolidation,TX,21.47,0.0,1.0,11.0,0.0,13188,77.6,24.0
8325,8325, 36 months,21.7,316.65,E,E2,3 years,RENT,27000.0,Verified,Charged Off,debt_consolidation,NV,33.42,0.0,1.0,9.0,0.0,6995,54.6,12.0
9000,9000, 36 months,7.69,280.75,A,A4,2 years,MORTGAGE,90000.0,Not Verified,Fully Paid,debt_consolidation,NV,10.54,0.0,0.0,13.0,1.0,11108,38.0,27.0
7150,7150, 36 months,20.2,266.45,E,E3,8 years,MORTGAGE,30000.0,Verified,Charged Off,home_improvement,CA,11.0,0.0,2.0,7.0,0.0,7934,69.6,8.0
7200,7200, 36 months,10.49,233.99,B,B3,10+ years,MORTGAGE,150000.0,Verified,Fully Paid,car,VA,20.12,2.0,0.0,14.0,0.0,66379,101.2,32.0
5000,5000, 36 months,12.69,167.73,C,C2,< 1 year,RENT,39000.0,Source Verified,Fully Paid,credit_card,CA,12.09,0.0,0.0,12.0,0.0,5511,74.5,29.0
1000,1000, 36 months,6.97,30.87,A,A3,5 years,MORTGAGE,75382.0,Verified,Fully Paid,home_improvement,TX,9.4,0.0,0.0,7.0,0.0,6656,10.6,16.0
9000,9000, 36 months,13.99,307.56,C,C4,2 years,MORTGAGE,100000.0,Source Verified,Fully Paid,house,ND,15.73,0.0,1.0,12.0,0.0,4378,17.3,28.0
12000,12000, 60 months,16.55,295.34,D,D2,1 year,MORTGAGE,65000.0,Not Verified,Charged Off,debt_consolidation,IN,25.17,4.0,1.0,16.0,0.0,6489,99.8,25.0
15000,15000, 60 months,10.75,324.27,B,B4,10+ years,RENT,40000.0,Source Verified,Charged Off,credit_card,NJ,16.05,0.0,0.0,10.0,1.0,10675,53.4,21.0
12000,12000, 36 months,7.49,373.22,A,A4,9 years,MORTGAGE,90000.0,Not Verified,Fully Paid,debt_consolidation,CA,17.4,0.0,0.0,9.0,1.0,10943,30.9,28.0
4000,4000, 36 months,13.67,136.08,B,B5,5 years,MORTGAGE,60000.0,Not Verified,Fully Paid,debt_consolidation,CT,20.68,1.0,0.0,6.0,0.0,15596,93.4,17.0
2800,2800, 36 months,8.18,87.98,B,B1,1 year,RENT,34236.0,Source Verified,Fully Paid,debt_consolidation,TX,26.15,0.0,0.0,11.0,1.0,8204,39.8,26.0
25000,25000, 36 months,6.24,763.28,A,A2,10+ years,MORTGAGE,55000.0,Source Verified,Charged Off,debt_consolidation,FL,24.42,0.0,0.0,16.0,0.0,27153,45.4,30.0
5000,5000, 36 months,8.39,157.59,B,B1,10+ years,MORTGAGE,40000.0,Not Verified,Fully Paid,debt_consolidation,FL,11.22,1.0,1.0,11.0,0.0,8793,31.2,22.0
15000,15000, 36 months,6.39,458.99,A,A2,10+ years,MORTGAGE,86400.0,Not Verified,Fully Paid,credit_card,NM,7.9,1.0,0.0,13.0,0.0,25797,23.3,24.0
8000,8000, 36 months,11.44,263.58,B,B4,8 years,OWN,100000.0,Verified,Fully Paid,debt_consolidation,NJ,1.7,3.0,0.0,6.0,0.0,1822,13.0,14.0
17975,17975, 60 months,17.57,452.26,D,D4,10+ years,RENT,40000.0,Source Verified,Charged Off,credit_card,MN,30.33,0.0,0.0,8.0,0.0,14659,94.6,14.0
12400,12400, 36 months,11.26,407.51,B,B2,< 1 year,RENT,44196.0,Source Verified,Fully Paid,debt_consolidation,TX,7.96,0.0,0.0,9.0,0.0,12656,71.9,34.0
20500,20500, 60 months,27.88,636.81,G,G3,8 years,MORTGAGE,41000.0,Source Verified,Fully Paid,debt_consolidation,WA,25.91,0.0,0.0,9.0,1.0,2842,38.9,29.0
29975,29975, 60 months,11.99,666.63,B,B5,4 years,MORTGAGE,60000.0,Source Verified,Fully Paid,credit_card,PA,28.04,0.0,1.0,16.0,0.0,25557,26.3,43.0
8300,8300, 36 months,7.91,259.75,A,A5,,RENT,52000.0,Not Verified,Fully Paid,debt_consolidation,CO,9.46,0.0,1.0,8.0,1.0,7585,35.1,25.0
7775,7775, 36 months,17.86,280.54,D,D5,10+ years,RENT,20000.0,Verified,Fully Paid,debt_consolidation,MI,32.47,0.0,0.0,9.0,3.0,10158,77.0,21.0
26875,26875, 60 months,25.69,799.73,F,F1,5 years,MORTGAGE,65000.0,Verified,Charged Off,major_purchase,TX,28.64,0.0,1.0,36.0,0.0,7157,20.3,61.0
5400,5400, 36 months,13.44,183.1,C,C3,2 years,RENT,70000.0,Source Verified,Fully Paid,home_improvement,FL,6.05,0.0,0.0,10.0,0.0,519,9.8,14.0
11000,11000, 36 months,12.59,368.47,C,C2,10+ years,RENT,33000.0,Verified,Fully Paid,debt_consolidation,IL,22.47,1.0,2.0,5.0,0.0,7650,78.1,10.0
5000,5000, 36 months,6.97,154.32,A,A3,,OWN,14400.0,Not Verified,Fully Paid,credit_card,FL,22.75,0.0,0.0,12.0,0.0,3923,17.6,28.0
7600,7600, 36 months,12.79,255.31,C,C1,3 years,RENT,35000.0,Source Verified,Fully Paid,debt_consolidation,CA,15.91,0.0,0.0,5.0,0.0,1214,15.2,8.0
8000,8000, 36 months,6.03,243.49,A,A1,3 years,MORTGAGE,95500.0,Not Verified,Fully Paid,debt_consolidation,GA,8.27,0.0,0.0,5.0,0.0,4342,14.4,11.0
9000,9000, 36 months,6.03,273.92,A,A1,3 years,RENT,50000.0,Not Verified,Fully Paid,home_improvement,OH,8.9,0.0,0.0,7.0,0.0,1741,62.2,26.0
9000,9000, 36 months,12.12,299.45,B,B3,7 years,MORTGAGE,82000.0,Not Verified,Fully Paid,home_improvement,CA,23.27,0.0,1.0,14.0,0.0,17731,66.7,32.0
28000,28000, 60 months,21.49,765.24,D,D5,1 year,OWN,91000.0,Verified,Fully Paid,other,MD,17.58,11.0,0.0,15.0,0.0,13554,102.7,34.0
10000,10000, 60 months,17.86,253.18,D,D5,10+ years,OWN,25000.0,Source Verified,Charged Off,debt_consolidation,MT,32.65,1.0,1.0,4.0,0.0,6526,59.3,17.0
1400,1400, 36 months,7.97,43.86,A,A5,10+ years,RENT,45000.0,Not Verified,Charged Off,other,NY,17.88,1.0,0.0,18.0,0.0,10928,44.1,25.0
26500,26500, 60 months,25.57,786.7,F,F5,10+ years,MORTGAGE,60000.0,Verified,Charged Off,debt_consolidation,MN,26.96,0.0,0.0,10.0,0.0,27434,81.2,27.0
28000,28000, 36 months,7.39,869.57,A,A4,9 years,RENT,170000.0,Not Verified,Fully Paid,debt_consolidation,CA,10.4,0.0,0.0,9.0,0.0,34560,38.8,27.0
10975,10975, 60 months,17.86,277.86,D,D5,5 years,RENT,27456.0,Verified,Charged Off,debt_consolidation,KS,21.9,0.0,0.0,15.0,0.0,12470,33.1,26.0
24750,24750, 36 months,10.75,807.36,B,B4,10+ years,MORTGAGE,55000.0,Source Verified,Fully Paid,debt_consolidation,FL,13.88,0.0,0.0,12.0,0.0,20232,46.0,15.0
10000,10000, 36 months,9.17,318.79,B,B2,3 years,OWN,45000.0,Not Verified,Fully Paid,credit_card,PA,31.28,0.0,0.0,9.0,0.0,15036,96.4,30.0
9000,9000, 36 months,11.67,297.52,B,B4,5 years,MORTGAGE,30000.0,Not Verified,Fully Paid,debt_consolidation,CT,17.83,0.0,3.0,16.0,0.0,11925,42.9,39.0
11200,11200, 60 months,17.09,278.9,D,D1,5 years,MORTGAGE,48000.0,Source Verified,Charged Off,medical,MN,25.46,0.0,2.0,5.0,0.0,28098,79.6,5.0
16800,16800, 36 months,9.17,535.57,B,B2,5 years,MORTGAGE,105000.0,Source Verified,Fully Paid,credit_card,CA,6.64,2.0,0.0,8.0,0.0,6778,42.6,26.0
7750,7750, 36 months,15.61,270.98,C,C3,1 year,MORTGAGE,45000.0,Verified,Charged Off,debt_consolidation,CA,26.08,2.0,1.0,9.0,0.0,7805,91.8,23.0
8000,8000, 36 months,12.29,266.83,C,C1,10+ years,MORTGAGE,93000.0,Verified,Fully Paid,debt_consolidation,TX,17.19,0.0,0.0,8.0,0.0,5952,86.3,27.0
10000,10000, 60 months,21.45,273.08,D,D5,2 years,MORTGAGE,67600.0,Verified,Charged Off,debt_consolidation,VA,9.83,0.0,0.0,8.0,0.0,12596,67.4,12.0
20000,20000, 36 months,8.38,630.24,B,B1,< 1 year,RENT,146000.0,Source Verified,Fully Paid,debt_consolidation,CA,9.67,0.0,1.0,4.0,0.0,11347,62.7,12.0
10975,10975, 60 months,12.62,247.59,C,C1,5 years,RENT,35000.0,Verified,Charged Off,debt_consolidation,CT,20.85,0.0,0.0,15.0,0.0,18151,33.0,25.0
3500,3500, 36 months,6.92,107.95,A,A4,10+ years,MORTGAGE,55054.0,Not Verified,Fully Paid,home_improvement,NC,30.3,0.0,0.0,16.0,0.0,20249,30.5,36.0
8000,8000, 36 months,6.68,245.85,A,A3,1 year,MORTGAGE,33000.0,Not Verified,Fully Paid,credit_card,GA,18.47,1.0,0.0,7.0,0.0,9510,64.3,15.0
24000,24000, 60 months,9.99,509.82,B,B3,10+ years,MORTGAGE,65000.0,Not Verified,Charged Off,credit_card,WI,18.13,0.0,0.0,8.0,0.0,34312,83.7,25.0
15000,15000, 36 months,11.14,492.08,B,B2,3 years,MORTGAGE,100000.0,Verified,Fully Paid,debt_consolidation,AL,28.79,0.0,0.0,12.0,0.0,16258,90.8,19.0
19125,19125, 36 months,13.11,645.42,B,B4,10+ years,MORTGAGE,43000.0,Verified,Fully Paid,debt_consolidation,NC,34.35,0.0,0.0,10.0,0.0,21947,58.8,22.0
19075,19075, 60 months,16.29,466.82,C,C4,5 years,MORTGAGE,42500.0,Verified,Fully Paid,major_purchase,TX,30.3,0.0,0.0,20.0,0.0,13699,34.4,26.0
5000,5000, 36 months,8.59,158.05,A,A5,10+ years,OWN,106000.0,Not Verified,Fully Paid,credit_card,FL,17.15,0.0,0.0,9.0,0.0,10849,60.3,16.0
6500,6500, 36 months,11.99,215.87,C,C1,2 years,OWN,75000.0,Source Verified,Fully Paid,home_improvement,WI,10.25,0.0,2.0,11.0,0.0,6414,23.1,27.0
9600,9600, 36 months,17.97,346.92,D,D1,10+ years,MORTGAGE,80000.0,Verified,Charged Off,credit_card,AL,17.93,1.0,0.0,12.0,0.0,20645,87.5,32.0
20000,20000, 36 months,13.67,680.36,C,C3,2 years,RENT,75000.0,Source Verified,Fully Paid,major_purchase,IL,21.63,0.0,2.0,6.0,0.0,5819,55.0,14.0
25500,25500, 36 months,12.59,854.17,C,C2,8 years,RENT,65000.0,Source Verified,Fully Paid,debt_consolidation,VA,10.14,0.0,0.0,5.0,0.0,9018,61.8,14.0
35000,35000, 60 months,18.99,907.73,D,D3,10+ years,MORTGAGE,101000.0,Source Verified,Fully Paid,debt_consolidation,CA,26.32,0.0,1.0,12.0,0.0,28344,73.6,32.0
5000,5000, 36 months,11.14,164.03,B,B2,5 years,RENT,25000.0,Not Verified,Fully Paid,credit_card,KY,5.53,0.0,1.0,4.0,0.0,4501,22.7,12.0
6000,6000, 36 months,18.94,219.76,D,D2,10+ years,MORTGAGE,49000.0,Verified,Fully Paid,debt_consolidation,GA,4.14,1.0,0.0,9.0,0.0,3817,13.0,24.0
3000,3000, 36 months,12.79,100.78,C,C1,10+ years,MORTGAGE,85000.0,Source Verified,Fully Paid,medical,AR,12.07,0.0,3.0,8.0,0.0,13636,83.1,27.0
18000,18000, 60 months,24.49,522.96,E,E3,4 years,MORTGAGE,90636.0,Source Verified,Charged Off,other,LA,22.18,0.0,0.0,7.0,0.0,23770,83.4,17.0
2500,2500, 36 months,11.99,83.03,C,C1,10+ years,MORTGAGE,110000.0,Verified,Fully Paid,home_improvement,MI,27.11,0.0,1.0,11.0,0.0,50798,101.2,22.0
5625,5625, 36 months,16.99,200.52,D,D1,,RENT,112452.48,Verified,Charged Off,medical,TX,12.74,3.0,0.0,6.0,0.0,1339,33.5,9.0
25000,25000, 36 months,9.75,803.75,B,B3,8 years,MORTGAGE,110000.0,Source Verified,Fully Paid,credit_card,AZ,12.87,0.0,0.0,11.0,0.0,28188,87.5,16.0
13000,13000, 60 months,14.49,305.8,C,C4,10+ years,RENT,86000.0,Source Verified,Charged Off,debt_consolidation,NY,15.96,0.0,0.0,14.0,0.0,22307,37.7,32.0
4200,4200, 36 months,14.49,144.55,C,C4,1 year,RENT,34000.0,Not Verified,Charged Off,debt_consolidation,CA,20.86,0.0,0.0,9.0,0.0,7794,86.6,28.0
10000,10000, 36 months,15.31,348.18,C,C2,8 years,MORTGAGE,65000.0,Not Verified,Fully Paid,major_purchase,FL,12.33,0.0,1.0,14.0,0.0,21225,73.2,26.0
14000,14000, 36 months,12.42,467.82,B,B4,4 years,MORTGAGE,88000.0,Not Verified,Fully Paid,debt_consolidation,NC,9.63,0.0,1.0,11.0,0.0,11271,70.9,22.0
6000,6000, 36 months,7.91,187.77,A,A5,10+ years,RENT,60000.0,Source Verified,Fully Paid,debt_consolidation,NV,9.4,0.0,0.0,4.0,0.0,15329,55.3,15.0
4000,4000, 36 months,11.49,131.89,B,B5,10+ years,MORTGAGE,100000.0,Not Verified,Fully Paid,home_improvement,MI,26.48,0.0,1.0,13.0,0.0,52462,72.9,28.0
21925,21925, 36 months,8.9,696.19,A,A5,10+ years,MORTGAGE,86320.0,Verified,Fully Paid,credit_card,NH,17.78,0.0,0.0,10.0,0.0,27184,63.2,29.0
9450,9450, 36 months,17.27,338.19,D,D2,1 year,RENT,27000.0,Verified,Charged Off,debt_consolidation,CO,20.84,0.0,1.0,3.0,0.0,15664,100.0,9.0
14000,14000, 60 months,20.99,378.67,E,E4,< 1 year,RENT,53000.0,Not Verified,Fully Paid,debt_consolidation,DE,18.25,2.0,0.0,5.0,0.0,53512,35.9,15.0
7800,7800, 36 months,13.33,264.06,C,C3,10+ years,OWN,52000.0,Verified,Fully Paid,credit_card,MI,31.15,2.0,1.0,17.0,0.0,8287,34.7,36.0
8500,8500, 36 months,12.74,285.34,C,C1,10+ years,MORTGAGE,107777.0,Source Verified,Fully Paid,debt_consolidation,TX,23.84,1.0,0.0,16.0,0.0,17059,57.6,47.0
8000,8000, 36 months,17.09,285.59,D,D1,3 years,OWN,31000.0,Not Verified,Charged Off,debt_consolidation,FL,24.18,0.0,3.0,16.0,0.0,6420,18.2,19.0
18000,18000, 36 months,16.99,641.66,D,D3,10+ years,MORTGAGE,102000.0,Source Verified,Fully Paid,debt_consolidation,FL,17.5,0.0,3.0,25.0,0.0,22551,48.9,52.0
20000,20000, 36 months,6.24,610.62,A,A2,10+ years,RENT,105000.0,Source Verified,Fully Paid,debt_consolidation,CA,13.09,0.0,0.0,8.0,0.0,51172,87.6,17.0
8000,8000, 36 months,11.99,265.68,B,B5,6 years,MORTGAGE,84000.0,Source Verified,Fully Paid,house,TX,11.19,0.0,1.0,5.0,0.0,357,35.7,13.0
10625,10625, 60 months,23.4,301.98,E,E5,< 1 year,RENT,40000.0,Verified,Fully Paid,debt_consolidation,NY,21.75,0.0,1.0,8.0,0.0,6237,90.4,13.0
9725,9725, 36 months,13.99,332.34,C,C4,2 years,MORTGAGE,86000.0,Verified,Charged Off,debt_consolidation,PA,8.09,0.0,0.0,13.0,0.0,0,,19.0
4900,4900, 36 months,8.39,154.44,B,B1,< 1 year,RENT,55000.0,Source Verified,Fully Paid,debt_consolidation,NJ,14.03,0.0,0.0,20.0,0.0,3621,9.2,22.0
14125,14125, 36 months,20.49,528.47,E,E1,5 years,MORTGAGE,36000.0,Verified,Fully Paid,credit_card,PA,18.43,0.0,0.0,24.0,0.0,15053,77.4,30.0
15000,15000, 60 months,9.17,312.62,B,B2,10+ years,MORTGAGE,37000.0,Not Verified,Charged Off,credit_card,TX,29.06,0.0,0.0,9.0,0.0,14375,34.6,22.0
10000,10000, 60 months,14.3,234.25,C,C1,5 years,RENT,47000.0,Source Verified,Fully Paid,credit_card,NJ,9.65,0.0,2.0,9.0,1.0,10618,57.1,15.0
